gene	control_1_rpkm	control_2_rpkm	control_3_rpkm	nq_1_rpkm	nq_2_rpkm	nq_2_rpkm	control_avg_rpkm	nq_avg_rpkm	total_avg_rpkm	logfc	pvalue	DEGs
LOC100537771	0.047	0.08	0.064	0.056	0.068	0.042	0.0636666666667	0.0553333333333	0.0595	-0.19	0.590225760147701	Non DEG
gramd2b	0.135	0.133	0.12	0.16	0.151	0.109	0.129333333333	0.14	0.134666666667	0.11	0.464548259128082	Non DEG
nudt12	0.872	0.887	0.766	0.757	0.709	0.785	0.841666666667	0.750333333333	0.796	-0.16	0.0517214183945472	Non DEG
LOC103911612	0.298	0.263	0.271	0.332	0.295	0.282	0.277333333333	0.303	0.290166666667	0.13	0.202576853582457	Non DEG
zgc:101664	2.916	2.515	3.281	3.042	2.585	2.503	2.904	2.71	2.807	-0.1	0.231657465165641	Non DEG
srp19	3.335	3.401	3.286	3.041	3.388	3.653	3.34066666667	3.36066666667	3.35066666667	0.01	0.920658428645716	Non DEG
LOC100329294	0.047	0.079	0.061	0.145	0.185	0.149	0.0623333333333	0.159666666667	0.111	1.35	3.1801706351963e-06	Slightly upregulated
si:ch211-87m7.1	0.302	0.32	0.308	0.314	0.345	0.273	0.31	0.310666666667	0.310333333333	0	0.992934017328841	Non DEG
si:ch211-87m7.2	2.274	2.288	2.171	2.206	2.241	1.962	2.24433333333	2.13633333333	2.19033333333	-0.07	0.24492257340913	Non DEG
spinb	0.758	0.632	0.568	0.621	0.798	0.774	0.652666666667	0.731	0.691833333333	0.17	0.130154730404674	Non DEG
csgalnact1b	0.185	0.253	0.296	0.257	0.208	0.306	0.244666666667	0.257	0.250833333333	0.07	0.651932691305491	Non DEG
LOC794598	0.824	0.975	0.925	2.002	1.925	2.185	0.908	2.03733333333	1.47266666667	1.17	1.58195908864195e-60	Slightly upregulated
rnf165b	0.267	0.263	0.288	0.38	0.336	0.344	0.272666666667	0.353333333333	0.313	0.38	3.05442324828454e-05	Non DEG
loxhd1b	0.089	0.088	0.099	0.081	0.083	0.072	0.092	0.0786666666667	0.0853333333333	-0.23	0.0253657732698773	Non DEG
ptger4a	0.533	0.61	0.523	0.423	0.362	0.42	0.555333333333	0.401666666667	0.4785	-0.47	0.000254954430311383	Non DEG
mrps27	1.172	1.081	1.161	1.126	0.969	1.064	1.138	1.053	1.0955	-0.11	0.147495829964107	Non DEG
znf366	0.097	0.073	0.101	0.096	0.128	0.09	0.0903333333333	0.104666666667	0.0975	0.21	0.220805985157673	Non DEG
fabp1b.1	12.169	11.544	12.969	14.505	13.487	14.606	12.2273333333	14.1993333333	13.2133333333	0.22	0.00016158527693359	Non DEG
fabp1b.2	0.054	0.124	0.097	0.053	0.082	0.041	0.0916666666667	0.0586666666667	0.0751666666667	-0.63	0.208475288178533	Non DEG
smyd1b	0.699	0.679	0.641	0.637	0.542	0.604	0.673	0.594333333333	0.633666666667	-0.18	0.015091018743415	Non DEG
sprb	0	0.02	0.01	0.019	0.029	0	0.01	0.016	0.013	0.65	0.490221755736727	Non DEG
lzts3b	0.153	0.143	0.168	0.119	0.087	0.104	0.154666666667	0.103333333333	0.129	-0.58	0.00155544846498283	Non DEG
ubox5	0.328	0.206	0.294	0.17	0.221	0.163	0.276	0.184666666667	0.230333333333	-0.58	7.26328207890293e-05	Non DEG
avp	0.049	0.066	0.062	0.043	0.087	0.028	0.059	0.0526666666667	0.0558333333333	-0.16	0.66291112387577	Non DEG
ccl27a	0.194	0.158	0.124	0.116	0.088	0.139	0.158666666667	0.114333333333	0.1365	-0.48	0.013540826606402	Non DEG
slc35d2	0.347	0.301	0.366	0.212	0.323	0.248	0.338	0.261	0.2995	-0.38	0.0013043782153108	Non DEG
znf367	3.689	3.656	3.577	3.233	3.428	3.364	3.64066666667	3.34166666667	3.49116666667	-0.12	0.0660352994727879	Non DEG
cdc14b	3.255	3.26	3.255	2.864	2.868	2.766	3.25666666667	2.83266666667	3.04466666667	-0.2	0.000250473682493947	Non DEG
aaed1	0.053	0.031	0.069	0.104	0.096	0.052	0.051	0.084	0.0675	0.73	0.0286007842889246	Non DEG
fbxl17	0.287	0.335	0.338	0.426	0.293	0.396	0.32	0.371666666667	0.345833333333	0.22	0.0805001640572553	Non DEG
efna5b	0.393	0.268	0.313	0.242	0.256	0.256	0.324666666667	0.251333333333	0.288	-0.37	0.00956554725371669	Non DEG
dgcr6	0.525	0.439	0.408	0.477	0.44	0.409	0.457333333333	0.442	0.449666666667	-0.05	0.681728240987684	Non DEG
LOC570938	0.193	0.215	0.221	0.262	0.253	0.245	0.209666666667	0.253333333333	0.2315	0.27	0.00447801113153334	Non DEG
pi4kab	0.133	0.137	0.146	0.14	0.137	0.142	0.138666666667	0.139666666667	0.139166666667	0.01	0.942423759074909	Non DEG
serpind1	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
snap29	1.72	1.578	1.469	1.671	1.614	1.609	1.589	1.63133333333	1.61016666667	0.04	0.624415499177014	Non DEG
si:dkey-178e17.3	0.075	0.092	0.12	0.178	0.127	0.15	0.0956666666667	0.151666666667	0.123666666667	0.67	3.04714630563687e-07	Non DEG
si:dkey-178e17.1	0.376	0.424	0.403	0.288	0.419	0.303	0.401	0.336666666667	0.368833333333	-0.25	0.00805555204515592	Non DEG
cltcl1	0.909	0.896	0.909	0.733	0.802	0.72	0.904666666667	0.751666666667	0.828166666667	-0.27	3.5461950189959e-06	Non DEG
si:dkeyp-117b11.1	0.13	0.144	0.132	0.142	0.173	0.139	0.135333333333	0.151333333333	0.143333333333	0.16	0.183499723536479	Non DEG
LOC101886963	0.149	0.115	0.101	0.121	0.16	0.104	0.121666666667	0.128333333333	0.125	0.08	0.725203366532387	Non DEG
LOC108190928	0.221	0.512	0.27	0.505	0.341	0.435	0.334333333333	0.427	0.380666666667	0.35	0.131565439331032	Non DEG
LOC100536595	1.895	2.058	1.888	1.824	1.786	1.91	1.947	1.84	1.8935	-0.08	0.179525131498971	Non DEG
plat	0.168	0.136	0.143	0.139	0.145	0.127	0.149	0.137	0.143	-0.12	0.270457563378188	Non DEG
ikbkb	1.344	1.346	1.363	1.231	1.172	1.214	1.351	1.20566666667	1.27833333333	-0.16	0.00336055177830881	Non DEG
vdac3	1.496	1.498	1.5	1.778	1.731	1.851	1.498	1.78666666667	1.64233333333	0.25	0.000122947400095767	Non DEG
si:ch211-220d9.3	0.096	0.096	0.127	0.089	0.072	0.103	0.106333333333	0.088	0.0971666666667	-0.27	0.186042407637185	Non DEG
polb	3.089	2.881	3.215	3.092	3.674	3.418	3.06166666667	3.39466666667	3.22816666667	0.15	0.0196236953196393	Non DEG
dynll1	11.369	10.516	10.481	11.115	10.784	10.827	10.7886666667	10.9086666667	10.8486666667	0.02	0.805989846386073	Non DEG
rpl6	31.578	32.255	30.569	26.354	26.316	26.558	31.4673333333	26.4093333333	28.9383333333	-0.25	1.35745080052944e-06	Non DEG
acaa2	0.774	0.925	0.64	1.03	0.913	1.098	0.779666666667	1.01366666667	0.896666666667	0.38	1.16749957839975e-06	Non DEG
mrpl40	1.373	1.246	1.228	1.122	1.267	1.324	1.28233333333	1.23766666667	1.26	-0.05	0.650243034900468	Non DEG
si:ch211-51h9.6	0.728	0.788	0.959	0.779	0.645	0.704	0.825	0.709333333333	0.767166666667	-0.22	0.071744809119649	Non DEG
gle1	0.973	1.046	0.941	0.88	0.893	0.859	0.986666666667	0.877333333333	0.932	-0.17	0.0145231138937861	Non DEG
si:ch211-51h9.7	1.17	1.298	1.327	1.391	1.019	1.323	1.265	1.24433333333	1.25466666667	-0.02	0.882245339202182	Non DEG
seta	98.174	99.684	98.205	98.662	100.702	98.969	98.6876666667	99.4443333333	99.066	0.01	0.831113256063428	Non DEG
zdhhc12a	0.616	0.736	0.561	0.524	0.504	0.503	0.637666666667	0.510333333333	0.574	-0.32	0.0180748042437683	Non DEG
slc25a25a	1.268	1.096	1.192	1.431	1.239	1.175	1.18533333333	1.28166666667	1.2335	0.11	0.204715553628275	Non DEG
naif1	0.976	0.865	0.812	0.883	0.95	0.957	0.884333333333	0.93	0.907166666667	0.07	0.472652036798188	Non DEG
fam102aa	0.431	0.397	0.422	0.362	0.384	0.376	0.416666666667	0.374	0.395333333333	-0.16	0.0206175817772933	Non DEG
LOC110440004	0.277	0.189	0.321	0.303	0.286	0.241	0.262333333333	0.276666666667	0.2695	0.08	0.644291341846971	Non DEG
sh3glb2a	0.511	0.622	0.536	0.554	0.527	0.497	0.556333333333	0.526	0.541166666667	-0.08	0.320282181804745	Non DEG
LOC103911456	0.251	0.235	0.252	0.278	0.22	0.296	0.246	0.264666666667	0.255333333333	0.11	0.415236291950009	Non DEG
crb2b	0.071	0.074	0.076	0.093	0.111	0.064	0.0736666666667	0.0893333333333	0.0815	0.28	0.0117359334479212	Non DEG
lhx2b	2.502	2.278	2.424	1.59	1.414	1.692	2.40133333333	1.56533333333	1.98333333333	-0.62	1.23289114380715e-19	Non DEG
fut9b	0.109	0.108	0.095	0.117	0.125	0.113	0.104	0.118333333333	0.111166666667	0.19	0.0397220303666536	Non DEG
zgc:173737	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
zgc:103510	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
zgc:112433	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
zgc:136963	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
zgc:165519	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
ctu1	0.856	0.803	0.666	0.69	0.754	0.784	0.775	0.742666666667	0.758833333333	-0.06	0.467160559178692	Non DEG
pxnb	1.205	1.261	1.21	1.064	1.126	1.092	1.22533333333	1.094	1.15966666667	-0.16	0.00451769781571089	Non DEG
gcn1	3.864	3.855	3.863	3.588	3.693	3.597	3.86066666667	3.626	3.74333333333	-0.09	0.0803593547818296	Non DEG
rab35b	1.43	1.321	1.423	1.276	1.334	1.255	1.39133333333	1.28833333333	1.33983333333	-0.11	0.0944692521106334	Non DEG
bicdl1	0.168	0.155	0.164	0.144	0.136	0.123	0.162333333333	0.134333333333	0.148333333333	-0.28	0.00269035102142646	Non DEG
LOC100333880	0.077	0.078	0.066	0.102	0.092	0.094	0.0736666666667	0.096	0.0848333333333	0.38	4.57180614396899e-05	Non DEG
mtmr3	0.699	0.695	0.71	0.717	0.716	0.744	0.701333333333	0.725666666667	0.7135	0.05	0.40353951914381	Non DEG
cux2b	0.079	0.104	0.089	0.088	0.096	0.093	0.0906666666667	0.0923333333333	0.0915	0.02	0.728016900171238	Non DEG
myl2b	0.124	0.154	0.129	0.129	0.12	0.156	0.135666666667	0.135	0.135333333333	0	0.993630180595168	Non DEG
pptc7a	0.452	0.526	0.482	0.523	0.486	0.491	0.486666666667	0.5	0.493333333333	0.04	0.64206757135651	Non DEG
rad9b	0.133	0.102	0.135	0.092	0.124	0.116	0.123333333333	0.110666666667	0.117	-0.16	0.325850052258049	Non DEG
srrd	0.777	0.911	0.659	0.758	0.592	0.784	0.782333333333	0.711333333333	0.746833333333	-0.14	0.174154141249113	Non DEG
si:ch211-166a6.5	3.4	3.512	3.489	3.112	3.007	3.134	3.467	3.08433333333	3.27566666667	-0.17	0.00152592327608496	Non DEG
dhx37	1.606	1.725	1.648	1.548	1.681	1.594	1.65966666667	1.60766666667	1.63366666667	-0.05	0.417108805160471	Non DEG
gp1bb	0.018	0.05	0.031	0.035	0.049	0.057	0.033	0.047	0.04	0.51	0.192986610224825	Non DEG
sept5a	0.234	0.21	0.199	0.182	0.239	0.229	0.214333333333	0.216666666667	0.2155	0.01	0.89558545209048	Non DEG
zgc:63587	1.002	0.98	0.972	0.948	0.955	0.945	0.984666666667	0.949333333333	0.967	-0.05	0.373618816661202	Non DEG
cldn5a	14.188	12.417	13.103	8.949	9.116	8.715	13.236	8.92666666667	11.0813333333	-0.57	2.58780612248423e-12	Non DEG
cdc45	1.279	1.215	1.331	1.246	1.086	1.205	1.275	1.179	1.227	-0.11	0.0941130125597015	Non DEG
ufd1l	0.93	0.936	0.83	1.043	0.959	1.034	0.898666666667	1.012	0.955333333333	0.17	0.0422153646839096	Non DEG
ciao1	1.383	1.482	1.418	1.649	1.556	1.547	1.42766666667	1.584	1.50583333333	0.15	0.0758365803025188	Non DEG
hsp70l	0.07	0.122	0.068	84.702	82.555	83.755	0.0866666666667	83.6706666667	41.8786666667	9.89	0	Strongly upregulated
tmem127	2.707	2.559	2.546	2.832	2.896	2.566	2.604	2.76466666667	2.68433333333	0.09	0.221294967628047	Non DEG
LOC101886239	0.083	0.074	0.086	0.112	0.086	0.143	0.081	0.113666666667	0.0973333333333	0.49	0.0319875396640211	Non DEG
es1	0.159	0.122	0.141	0.088	0.131	0.071	0.140666666667	0.0966666666667	0.118666666667	-0.53	0.0128744590118725	Non DEG
igsf9b	0.728	0.745	0.687	0.542	0.569	0.576	0.72	0.562333333333	0.641166666667	-0.36	1.77826741024587e-09	Non DEG
tmem230b	0.5	0.52	0.519	0.418	0.527	0.446	0.513	0.463666666667	0.488333333333	-0.15	0.242740439007898	Non DEG
adra1aa	0.075	0.077	0.09	0.071	0.068	0.059	0.0806666666667	0.066	0.0733333333333	-0.29	0.0328180858772999	Non DEG
dpysl2a	0.147	0.149	0.138	0.156	0.158	0.17	0.144666666667	0.161333333333	0.153	0.16	0.0916643575762867	Non DEG
bnip3la	0.779	0.575	0.776	0.594	0.634	0.512	0.71	0.58	0.645	-0.29	0.00162251211375919	Non DEG
ppp2r2aa	2.378	2.407	2.427	2.51	2.367	2.558	2.404	2.47833333333	2.44116666667	0.04	0.448283288612706	Non DEG
lrrtm4	0.126	0.134	0.135	0.12	0.121	0.125	0.131666666667	0.122	0.126833333333	-0.11	0.0889326961319166	Non DEG
lrrtm4l2	0.124	0.155	0.138	0.105	0.142	0.126	0.139	0.124333333333	0.131666666667	-0.16	0.0941626616527696	Non DEG
vsig8b	0.154	0.12	0.134	0.194	0.166	0.129	0.136	0.163	0.1495	0.26	0.0396397878068995	Non DEG
tas2r202	0.02	0.033	0.05	0.037	0.033	0.023	0.0343333333333	0.031	0.0326666666667	-0.17	0.658844664082794	Non DEG
dock5	0.182	0.185	0.178	0.179	0.169	0.169	0.181666666667	0.172333333333	0.177	-0.07	0.272473383172615	Non DEG
nefmb	0.163	0.177	0.182	0.188	0.201	0.235	0.174	0.208	0.191	0.25	0.42488569184375	Non DEG
neflb	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
si:ch211-255g12.8	0.522	0.487	0.491	0.443	0.618	0.45	0.5	0.503666666667	0.501833333333	0.01	0.941301992266408	Non DEG
asb6	1.412	1.156	1.276	1.231	1.117	1.076	1.28133333333	1.14133333333	1.21133333333	-0.17	0.0311390712710248	Non DEG
wdr13	0.393	0.41	0.52	0.344	0.358	0.389	0.441	0.363666666667	0.402333333333	-0.28	0.00482355831561461	Non DEG
asic1a	0.182	0.162	0.135	0.164	0.119	0.131	0.159666666667	0.138	0.148833333333	-0.21	0.0396389351922727	Non DEG
gpd1a	0.346	0.387	0.41	0.365	0.355	0.341	0.381	0.353666666667	0.367333333333	-0.11	0.32713573362775	Non DEG
si:ch73-233m11.2	0.329	0.349	0.402	0.29	0.286	0.371	0.36	0.315666666667	0.337833333333	-0.19	0.0718316364440277	Non DEG
si:dkey-222n6.2	2.378	2.708	2.703	1.717	1.722	1.521	2.59633333333	1.65333333333	2.12483333333	-0.65	1.03610367604536e-16	Non DEG
abtb1	0.511	0.458	0.443	0.429	0.425	0.435	0.470666666667	0.429666666667	0.450166666667	-0.13	0.163925616511044	Non DEG
slc6a6a	0.142	0.112	0.12	0.151	0.099	0.112	0.124666666667	0.120666666667	0.122666666667	-0.05	0.68802378463579	Non DEG
grip2a	0.246	0.25	0.235	0.206	0.203	0.214	0.243666666667	0.207666666667	0.225666666667	-0.23	0.00169839259906726	Non DEG
ssuh2rs1	0.691	0.755	0.774	0.682	0.679	0.674	0.74	0.678333333333	0.709166666667	-0.13	0.0765031788197105	Non DEG
cenpa	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
seph	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
pcsk1nl	0.052	0.033	0.042	0.028	0.019	0.034	0.0423333333333	0.027	0.0346666666667	-0.64	0.0392847693335471	Non DEG
lhfpl4b	0.233	0.231	0.172	0.211	0.187	0.187	0.212	0.195	0.2035	-0.12	0.52211908634822	Non DEG
hdac6	0.549	0.573	0.597	0.578	0.579	0.553	0.573	0.57	0.5715	-0.01	0.906073128384857	Non DEG
gata1b	0.05	0.054	0.088	0.057	0.069	0.071	0.064	0.0656666666667	0.0648333333333	0.04	0.89918257465037	Non DEG
cdk20	0.03	0.124	0.093	0.074	0.143	0.102	0.0823333333333	0.106333333333	0.0943333333333	0.37	0.184022811912244	Non DEG
hcfc1b	4.328	4.447	4.353	4.689	4.571	4.493	4.376	4.58433333333	4.48016666667	0.07	0.20297351324877	Non DEG
irak1	0.56	0.547	0.554	0.661	0.611	0.635	0.553666666667	0.635666666667	0.594666666667	0.2	0.00830563836953596	Non DEG
mecp2	0.34	0.337	0.346	0.513	0.454	0.596	0.341	0.521	0.431	0.61	7.23377598389687e-10	Non DEG
LOC564674	0.168	0.161	0.176	0.147	0.119	0.13	0.168333333333	0.132	0.150166666667	-0.35	0.0345828984729444	Non DEG
fgd1	1.146	1.26	1.233	1.069	1.09	1.184	1.213	1.11433333333	1.16366666667	-0.12	0.0265355303331313	Non DEG
tfe3a	0.768	0.736	0.898	0.916	0.978	1.056	0.800666666667	0.983333333333	0.892	0.3	2.09993542058445e-05	Non DEG
zgc:113363	0.023	0.035	0.018	0.077	0.068	0.066	0.0253333333333	0.0703333333333	0.0478333333333	1.47	6.32586159405666e-07	Slightly upregulated
cxxc1a	0.916	0.877	0.93	0.754	0.769	0.9	0.907666666667	0.807666666667	0.857666666667	-0.17	0.0388550170143988	Non DEG
mbd1a	3.71	3.542	3.715	3.623	3.474	3.499	3.65566666667	3.532	3.59383333333	-0.05	0.364522810375732	Non DEG
si:ch211-169p10.1	0.658	0.655	0.641	0.688	0.647	0.686	0.651333333333	0.673666666667	0.6625	0.05	0.412290956811908	Non DEG
abcd1	0.232	0.248	0.241	0.182	0.186	0.179	0.240333333333	0.182333333333	0.211333333333	-0.4	8.59884047884968e-05	Non DEG
plxnb3	0.69	0.675	0.685	0.528	0.55	0.571	0.683333333333	0.549666666667	0.6165	-0.31	1.73140888497363e-08	Non DEG
srpk3	0.206	0.255	0.22	0.241	0.243	0.288	0.227	0.257333333333	0.242166666667	0.18	0.0449074782179216	Non DEG
tsr2	4.21	4.52	3.751	4.04	4.015	3.681	4.16033333333	3.912	4.03616666667	-0.09	0.185894864974508	Non DEG
cdk16	1.109	1.116	1.069	1.075	1.069	1.13	1.098	1.09133333333	1.09466666667	-0.01	0.882249253973651	Non DEG
comta	0.374	0.331	0.357	0.422	0.478	0.478	0.354	0.459333333333	0.406666666667	0.38	0.000239566867467712	Non DEG
abt1	3.874	3.935	4.192	4.106	4.459	4.28	4.00033333333	4.28166666667	4.141	0.1	0.168320296287465	Non DEG
grm6a	0.041	0.047	0.031	0.039	0.036	0.043	0.0396666666667	0.0393333333333	0.0395	-0.02	0.899115706729357	Non DEG
usp11	0.602	0.663	0.59	0.584	0.622	0.53	0.618333333333	0.578666666667	0.5985	-0.1	0.184961413641269	Non DEG
zgc:86609	0.968	0.794	1.012	1.099	1.046	1.056	0.924666666667	1.067	0.995833333333	0.21	0.0202437040105448	Non DEG
uxt	1.194	1.005	1.056	0.842	0.757	0.989	1.085	0.862666666667	0.973833333333	-0.33	0.00744971677723373	Non DEG
elk1	0.962	0.948	0.988	1.065	1.01	1.128	0.966	1.06766666667	1.01683333333	0.14	0.0295363204845773	Non DEG
si:ch211-180f4.1	0.03	0.027	0.027	0.047	0.025	0.031	0.028	0.0343333333333	0.0311666666667	0.29	0.169381985770911	Non DEG
otud5a	1.056	1.173	1.155	0.967	0.977	0.957	1.128	0.967	1.0475	-0.22	0.000208047575855074	Non DEG
pim2	3.132	3.692	3.576	2.155	2.81	2.308	3.46666666667	2.42433333333	2.9455	-0.52	4.83610758799524e-11	Non DEG
slc35a2	4.842	4.759	4.656	4.186	4.217	3.997	4.75233333333	4.13333333333	4.44283333333	-0.2	0.000356180708777463	Non DEG
bcap31	0.917	0.77	0.84	0.818	0.785	0.77	0.842333333333	0.791	0.816666666667	-0.09	0.154472693525215	Non DEG
slc6a8	0.032	0.025	0.025	0.031	0.026	0.026	0.0273333333333	0.0276666666667	0.0275	0	0.984162981973254	Non DEG
pnck	0.032	0.062	0.045	0.034	0.048	0.033	0.0463333333333	0.0383333333333	0.0423333333333	-0.28	0.311480769710327	Non DEG
plxna3	2.763	2.873	2.891	2.636	2.609	2.666	2.84233333333	2.637	2.73966666667	-0.11	0.0350935603635464	Non DEG
ptpn18	0.024	0.023	0.015	0.022	0.036	0.032	0.0206666666667	0.03	0.0253333333333	0.54	0.0314981905090078	Non DEG
mon1ba	0	0.01	0.034	0.015	0.01	0.038	0.0146666666667	0.021	0.0178333333333	0.49	0.412756476249693	Non DEG
gripap1	0.599	0.544	0.558	0.575	0.523	0.485	0.567	0.527666666667	0.547333333333	-0.1	0.090892357872936	Non DEG
kcnd1	0.414	0.389	0.387	0.5	0.448	0.466	0.396666666667	0.471333333333	0.434	0.25	4.63595638475709e-05	Non DEG
LOC101883539	0.006	0.012	0.028	0.033	0.033	0.046	0.0153333333333	0.0373333333333	0.0263333333333	1.26	0.00248039526992715	Slightly upregulated
si:dkey-8e10.3	0.018	0.003	0.022	0.024	0.012	0.019	0.0143333333333	0.0183333333333	0.0163333333333	0.33	0.506384093152928	Non DEG
pim1	9.45	9.735	9.725	8.253	9.37	8.291	9.63666666667	8.638	9.13733333333	-0.16	0.0173459157582842	Non DEG
tbc1d22b	0.269	0.286	0.265	0.259	0.249	0.254	0.273333333333	0.254	0.263666666667	-0.1	0.135549560471314	Non DEG
si:ch211-240g9.1	0.091	0.093	0.088	0.078	0.064	0.074	0.0906666666667	0.072	0.0813333333333	-0.33	0.000258704232452468	Non DEG
LOC110440005	0	0	0	0	0	0	0.0	0.0	0.0	0	1	Non DEG
mapk13	0.234	0.232	0.248	0.184	0.259	0.203	0.238	0.215333333333	0.226666666667	-0.14	0.165165885874923	Non DEG
brpf3b	2.052	2.048	2.098	2.246	2.352	2.342	2.066	2.31333333333	2.18966666667	0.16	0.00559071723140324	Non DEG
nr1h5	0.162	0.188	0.159	0.375	0.308	0.363	0.169666666667	0.348666666667	0.259166666667	1.04	5.27601484979627e-22	Slightly upregulated
pqlc2	1.667	1.601	1.766	1.993	1.936	1.854	1.678	1.92766666667	1.80283333333	0.2	0.00455638943948189	Non DEG
trim33	2.522	2.333	2.378	2.437	2.247	2.367	2.411	2.35033333333	2.38066666667	-0.04	0.513950939148384	Non DEG
bcas2	5.302	5.231	5.787	5.939	6.152	5.811	5.44	5.96733333333	5.70366666667	0.13	0.0333002491357193	Non DEG
dennd2c	0.204	0.225	0.227	0.206	0.242	0.202	0.218666666667	0.216666666667	0.217666666667	-0.01	0.924384235002606	Non DEG
ampd1	0.225	0.279	0.239	0.383	0.404	0.406	0.247666666667	0.397666666667	0.322666666667	0.68	1.1931872399727e-12	Non DEG
nras	3.522	3.444	3.335	3.401	3.64	3.16	3.43366666667	3.40033333333	3.417	-0.02	0.802647393836364	Non DEG
asb13b	0.147	0.295	0.282	0.305	0.25	0.203	0.241333333333	0.252666666667	0.247	0.06	0.725243854771906	Non DEG
si:ch211-204d2.4	0.211	0.16	0.165	0.132	0.175	0.076	0.178666666667	0.127666666667	0.153166666667	-0.48	0.00260480686746179	Non DEG
fam208b	10.374	9.979	10.483	12.402	12.11	12.788	10.2786666667	12.4333333333	11.356	0.27	1.68390480034902e-07	Non DEG
unc45b	2.523	2.406	2.4	3.243	3.186	3.356	2.443	3.26166666667	2.85233333333	0.42	9.34391418217027e-13	Non DEG
pip5k1bb	0.195	0.187	0.211	0.125	0.128	0.142	0.197666666667	0.131666666667	0.164666666667	-0.59	2.90574716295215e-12	Non DEG
fxn	0.908	1.147	0.963	1.26	1.08	1.036	1.006	1.12533333333	1.06566666667	0.16	0.0466495527773633	Non DEG
tjp2b	0.364	0.329	0.358	0.298	0.312	0.29	0.350333333333	0.3	0.325166666667	-0.22	0.0039792640701071	Non DEG
LOC103911473	0.223	0.246	0.22	0.234	0.234	0.182	0.229666666667	0.216666666667	0.223166666667	-0.09	0.356386350136149	Non DEG
si:ch211-248e11.2	0.173	0.112	0.101	0.142	0.152	0.114	0.128666666667	0.136	0.132333333333	0.08	0.832055458960116	Non DEG
fnbp1a	0.296	0.29	0.326	0.235	0.201	0.208	0.304	0.214666666667	0.259333333333	-0.5	2.30927472775659e-10	Non DEG
ift81	0.443	0.47	0.532	0.445	0.448	0.531	0.481666666667	0.474666666667	0.478166666667	-0.02	0.779177722363814	Non DEG
atp2a2a	0.442	0.423	0.443	0.438	0.506	0.453	0.436	0.465666666667	0.450833333333	0.09	0.183781123025896	Non DEG
anapc7	1.263	1.251	1.138	1.074	1.177	1.066	1.21733333333	1.10566666667	1.1615	-0.14	0.0496337371871289	Non DEG
rapgef1a	0.462	0.435	0.456	0.384	0.364	0.413	0.451	0.387	0.419	-0.22	0.00150578863746505	Non DEG
med27	0.899	0.884	0.892	0.866	0.804	0.872	0.891666666667	0.847333333333	0.8695	-0.07	0.195376944774374	Non DEG
ntng2a	0.016	0.018	0.013	0.022	0.025	0.025	0.0156666666667	0.024	0.0198333333333	0.59	0.00063448407157496	Non DEG
endog	0.7	0.721	0.79	0.535	0.675	0.63	0.737	0.613333333333	0.675166666667	-0.27	0.100359912901693	Non DEG
dab2ipa	0.111	0.154	0.136	0.107	0.122	0.103	0.133666666667	0.110666666667	0.122166666667	-0.27	0.00012942896033643	Non DEG
phf19	0.251	0.259	0.248	0.232	0.227	0.184	0.252666666667	0.214333333333	0.2335	-0.24	0.00419612244500147	Non DEG
traf1	0.076	0.071	0.072	0.042	0.056	0.046	0.073	0.048	0.0605	-0.6	0.00595886305326853	Non DEG
si:dkeyp-51b7.3	0.06	0.061	0.069	0.064	0.072	0.067	0.0633333333333	0.0676666666667	0.0655	0.09	0.275030164012429	Non DEG
slc2a6	0.004	0.013	0.009	0	0.008	0	0.00866666666667	0.00266666666667	0.00566666666667	-1.44	0.142988604109106	Non DEG
zgc:103670	3.357	3.485	3.589	3.097	3.436	3.413	3.477	3.31533333333	3.39616666667	-0.07	0.233547298832232	Non DEG
cept1a	0.539	0.539	0.676	0.622	0.715	0.74	0.584666666667	0.692333333333	0.6385	0.24	0.00727464200427328	Non DEG
LOC792944	0.176	0.24	0.194	0.31	0.267	0.217	0.203333333333	0.264666666667	0.234	0.38	0.0116011586342312	Non DEG
dennd2da	0.461	0.494	0.491	0.439	0.5	0.481	0.482	0.473333333333	0.477666666667	-0.03	0.742427126645213	Non DEG
si:dkey-208b23.5	0.003	0.01	0.014	0.02	0.004	0.018	0.009	0.014	0.0115	0.63	0.129223975777002	Non DEG
sap30bp	1.421	1.414	1.43	1.299	1.232	1.267	1.42166666667	1.266	1.34383333333	-0.17	0.00823531745210622	Non DEG
itgb4	0.175	0.178	0.173	0.138	0.159	0.125	0.175333333333	0.140666666667	0.158	-0.32	0.00129583565381579	Non DEG
zgc:194990	0.123	0.098	0.096	0.107	0.144	0.156	0.105666666667	0.135666666667	0.120666666667	0.36	0.0213968630950925	Non DEG
si:ch73-61d6.3	0.035	0.038	0.037	0.017	0.033	0.021	0.0366666666667	0.0236666666667	0.0301666666667	-0.62	0.0230053293608217	Non DEG
